order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
03F,Attribute-Based Access Control,Field Level Read Permissions,abac/field-level-read-permissions,sliders-h,/lessons/abac/field-level-read-permissions,Implement field-level read permissions to hide sensitive data from unauthorized users.
03G,Attribute-Based Access Control,Field Level Write Permissions,abac/field-level-write-permissions,sliders-h,/lessons/abac/field-level-write-permissions,Implement field-level write permissions to control which fields users can modify.
03H,Attribute-Based Access Control,Policy Composition,abac/policy-composition,sliders-h,/lessons/abac/policy-composition,Learn how to combine multiple conditions into complex policies that handle real-world business rules.
04A,Relationship-Based Access Control,Rebac Fundamentals,rebac/rebac-fundamentals,project-diagram,/lessons/rebac/rebac-fundamentals,Understand relationship-based access control and how it models permissions as a graph of relationships.
04B,Relationship-Based Access Control,Document Sharing,rebac/document-sharing,project-diagram,/lessons/rebac/document-sharing,Implement document sharing with a relationship table and permission checks.
04C,Relationship-Based Access Control,Nested Relationships,rebac/nested-relationships,project-diagram,/lessons/rebac/nested-relationships,Handle complex nested relationships like organization membership implying document access.
04D,Relationship-Based Access Control,Zanzibar Overview,rebac/zanzibar-overview,project-diagram,/lessons/rebac/zanzibar-overview,Brief overview of Google Zanzibar and production ReBAC systems like SpiceDB and OpenFGA.
05A,Existing Libraries,Casl Overview,existing-libraries/casl-overview,book,/lessons/existing-libraries/casl-overview,"Introduction to CASL, a popular isomorphic authorization library for JavaScript/TypeScript."
05B,Existing Libraries,Implementing Casl,existing-libraries/implementing-casl,book,/lessons/existing-libraries/implementing-casl,Refactor our permission system to use CASL's defineAbility and ability checks.
05C,Existing Libraries,Casl Typescript,existing-libraries/casl-typescript,book,/lessons/existing-libraries/casl-typescript,Add TypeScript types to CASL for compile-time safety and IDE autocomplete.
05D,Existing Libraries,Casbin Overview,existing-libraries/casbin-overview,book,/lessons/existing-libraries/casbin-overview,Overview of Casbin's DSL-based approach to authorization with external policy files.
05E,Existing Libraries,Library Comparison,existing-libraries/library-comparison,book,/lessons/existing-libraries/library-comparison,Compare CASL and Casbin to understand when to use each library.
06A,Build Your Own,Api Design,build-your-own/api-design,hammer,/lessons/build-your-own/api-design,Design the API for our custom permission library with a focus on simplicity and type safety.
06B,Build Your Own,Core Types,build-your-own/core-types,hammer,/lessons/build-your-own/core-types,Define the TypeScript types and interfaces for our permission library.
06C,Build Your Own,Builder Pattern,build-your-own/builder-pattern,hammer,/lessons/build-your-own/builder-pattern,Implement the builder pattern for collecting permission rules.
06D,Build Your Own,Permission Checking,build-your-own/permission-checking,hammer,/lessons/build-your-own/permission-checking,Implement the can() and cannot() methods for checking permissions.
06E,Build Your Own,Condition Matching,build-your-own/condition-matching,hammer,/lessons/build-your-own/condition-matching,Implement condition matching logic using simple equality checks.
06F,Build Your Own,Field Permissions,build-your-own/field-permissions,hammer,/lessons/build-your-own/field-permissions,Implement field-level permission checking and filtering.
06G,Build Your Own,Drizzle Integration,build-your-own/drizzle-integration,hammer,/lessons/build-your-own/drizzle-integration,Generate Drizzle ORM where clauses from permission rules.
06H,Build Your Own,React Integration,build-your-own/react-integration,hammer,/lessons/build-your-own/react-integration,Create React components and hooks for frontend permission checks.
06I,Build Your Own,Complete Example,build-your-own/complete-example,hammer,/lessons/build-your-own/complete-example,Put it all together and see our custom permission library in action.
07A,Integration Patterns,Frontend Patterns,integration-patterns/frontend-patterns,plug,/lessons/integration-patterns/frontend-patterns,Best practices for implementing permission checks in React applications.
07B,Integration Patterns,Backend Patterns,integration-patterns/backend-patterns,plug,/lessons/integration-patterns/backend-patterns,Compare middleware-based vs service-layer permission checking approaches.
07C,Integration Patterns,Mistake Toctou,integration-patterns/mistake-toctou,plug,/lessons/integration-patterns/mistake-toctou,A subtle race condition in permission checking and how to prevent it.
07D,Integration Patterns,Full Flow Demo,integration-patterns/full-flow-demo,plug,/lessons/integration-patterns/full-flow-demo,See the complete permission flow from login to database query to UI rendering.
08A,Permission Editor UI,Why Permission Editor,permission-editor/why-permission-editor,edit,/lessons/permission-editor/why-permission-editor,Understand when to use code-based permissions vs a UI-based permission editor.
08B,Permission Editor UI,Permission Storage,permission-editor/permission-storage,edit,/lessons/permission-editor/permission-storage,Create a database schema to store permission rules that can be edited at runtime.
08C,Permission Editor UI,Visual Editor Ui,permission-editor/visual-editor-ui,edit,/lessons/permission-editor/visual-editor-ui,Build a simple visual interface for viewing and editing permission rules.
08D,Permission Editor UI,Rule Editor Modal,permission-editor/rule-editor-modal,edit,/lessons/permission-editor/rule-editor-modal,Create a modal form for adding and editing permission rules with dropdowns and checkboxes.
08E,Permission Editor UI,Dynamic Loading,permission-editor/dynamic-loading,edit,/lessons/permission-editor/dynamic-loading,Load permission rules from the database and build abilities dynamically.
08F,Permission Editor UI,Best Practices,permission-editor/best-practices,edit,/lessons/permission-editor/best-practices,Best practices for permission editors including safety guardrails and audit logging.
09A,Wrap-Up,Choosing the Right System,wrap-up/choosing-the-right-system,flag-checkered,/lessons/wrap-up/choosing-the-right-system,"A decision framework for choosing between RBAC, ABAC, and ReBAC based on your application's needs."
09B,Wrap-Up,Production Considerations,wrap-up/production-considerations,flag-checkered,/lessons/wrap-up/production-considerations,"Performance optimization, audit logging, and other considerations for production permission systems."
09C,Wrap-Up,Resources,wrap-up/resources,flag-checkered,/lessons/wrap-up/resources,"Recommended tools, libraries, and learning resources for further exploration of permission systems."
